time,fdepan,fbelakang
0,-1.3586549,2.5965924
0.00512,-5.127933,5.7675848
0.01024,-6.8468623,7.3264508
0.01536,-5.7998052,6.1526065
0.02048,-3.1779642,3.3737445
0.0256,-0.060583986,0.008702768
0.03072,3.2344015,-3.3566573
0.03584,5.7801623,-5.8876796
0.04096,6.2582717,-6.6334271
0.04608,4.6963372,-5.5186782
0.0512,2.1102464,-3.206001
0.05632,-1.139956,-0.070656918
0.06144,-4.8853159,3.4111962
0.06656,-7.443799,6.1049695
0.07168,-7.4432902,6.3202381
0.0768,-5.1358209,4.3349729
0.08192,-1.7473254,1.2815346
0.08704,2.0641911,-2.1818581
0.09216,5.5361457,-5.074667
0.09728,7.2683063,-6.3261738
0.1024,6.6085205,-5.523665
0.10752,4.2754788,-3.225841
0.11264,1.2203115,-0.098666221
0.11776,-2.332685,3.2900348
0.12288,-5.3724585,6.1911197
0.128,-6.4560285,7.284225
0.13312,-5.1515965,6.1266131
0.13824,-2.332685,3.445147
0.14336,1.015353,-0.037767209
0.14848,4.3731871,-3.6147883
0.1536,6.5603023,-6.0792885
0.15872,6.6113195,-6.5750747
0.16384,4.6476102,-5.3281302
0.16896,1.4521145,-2.8450632
0.17408,-2.2848487,0.42183995
0.1792,-5.9964938,3.729696
0.18432,-8.0542221,5.6994715
0.18944,-7.6149158,5.3618746
0.19456,-5.1930718,3.4692307
0.19968,-1.6114497,0.55064029
0.2048,2.3976464,-2.7601864
0.20992,5.87011,-5.4625535
0.21504,7.462451,-6.2773695
0.22016,6.7433782,-5.1544514
0.22528,4.2907457,-2.6499529
0.2304,0.82706082,0.83243084
0.23552,-2.9436166,4.4954958
0.24064,-5.6879749,7.0420079
0.24576,-6.1519623,7.1198826
0.25088,-4.5561862,5.2528081
0.256,-1.8045764,2.4406316
0.26112,1.4220895,-1.0281719
0.26624,4.456265,-4.3580956
0.27136,6.2281194,-6.3592753
0.27648,6.0199804,-6.3292503
0.2816,4.0901127,-4.7831159
0.28672,0.95263135,-2.168596
0.29184,-2.9231336,1.4130933
0.29696,-6.3258781,4.8258781
0.30208,-7.6920137,6.346868
0.3072,-6.6219292,5.350204
0.31232,-3.9752796,2.9920115
0.31744,-0.45370746,-0.032886799
0.32256,3.2204068,-3.3296027
0.32768,5.880415,-5.8401484
0.3328,6.7066107,-6.385057
0.33792,5.6165514,-5.0335021
0.34304,3.1028514,-2.5330353
0.34816,-0.43398768,0.89481521
0.35328,-4.2134438,4.6381946
0.3584,-6.4360542,7.2027431
0.36352,-6.2499251,7.1146836
0.36864,-4.0265512,4.8830638
0.37376,-0.70726573,1.886493
0.37888,2.9059079,-1.4843839
0.384,5.7844877,-4.4644041
0.38912,6.8538094,-5.8983951
0.39424,6.027741,-5.4141736
0.39936,3.8852816,-3.7151551
0.40448,0.73049748,-1.2655083
0.4096,-3.3277073,1.9479225
0.41472,-6.8173461,5.0146227
0.41984,-8.0210161,6.042479
0.42496,-6.8620019,4.6621723
0.43008,-4.0653543,2.0469098
0.4352,-0.32495636,-1.0864185
0.44032,3.518239,-4.335073
0.44544,6.0000062,-6.498261
0.45056,6.4039435,-6.4853172
0.45568,5.1542182,-4.6831737
0.4608,2.6210525,-1.868557
0.46592,-0.88003653,1.5216295
0.47104,-4.4332876,5.0963163
0.47616,-6.1774073,7.3595529
0.48128,-5.6379757,6.9667859
0.4864,-3.4595118,4.7299676
0.49152,-0.23373643,1.6834255
0.49664,3.366842,-1.7044268
0.50176,6.1767206,-4.7133045
0.50688,6.9306526,-6.0525527
0.512,5.7690935,-5.4171443
0.51712,3.3491578,-3.4530983
0.52224,-0.10422196,-0.68081409
0.52736,-4.1355824,2.4782956
0.53248,-7.0911331,5.1365271
0.5376,-7.6135163,5.7577181
0.54272,-6.1258812,4.284153
0.54784,-3.3475542,1.6665564
0.55296,0.32007149,-1.4753659
0.55808,3.939352,-4.4833951
0.5632,6.0618372,-6.3373137
0.56832,6.1115818,-6.1831565
0.57344,4.6711469,-4.3921528
0.57856,2.079967,-1.5139847
0.58368,-1.5922389,2.0567768
0.5888,-5.0727177,5.4671216
0.59392,-6.4744763,7.2017884
0.59904,-5.504899,6.4339728
0.60416,-3.0534115,4.0679297
0.60928,0.22401705,0.95709348
0.6144,3.8967319,-2.3237081
0.61952,6.6193347,-4.872767
0.62464,7.1488428,-5.7111359
0.62976,5.7328348,-4.7298555
0.63488,3.1986513,-2.5816271
0.64,-0.26770535,0.26195353
0.64512,-4.1998305,3.3705616
0.65024,-6.8842659,5.6222334
0.65536,-7.0912604,5.7518826
0.66048,-5.4416685,3.9346731
0.6656,-2.828733,1.0879096
0.67072,0.6268096,-2.1578803
0.67584,4.067976,-5.1020398
0.68096,5.8479729,-6.6766081
0.68608,5.4286413,-6.2736564
0.6912,3.6684911,-4.3252063
0.69632,1.0904154,-1.3752114
0.70144,-2.4045668,2.2437177
0.70656,-5.5822511,5.504149
0.71168,-6.501575,6.9866261
0.7168,-4.9799709,6.1036963
0.72192,-2.1871402,3.7847598
0.72704,1.1863426,0.72124243
0.73216,4.7963357,-2.5175452
0.73728,7.2199612,-4.8491073
0.7424,7.3063464,-5.3762975
0.74752,5.439455,-4.2251577
0.75264,2.6551485,-2.0670624
0.75776,-0.92736399,0.73991531
0.76288,-4.9247556,3.8910677
0.768,-7.464664,5.8700733
0.77312,-7.2756085,5.3549781
0.77824,-5.2049036,3.2187386
0.78336,-2.4110553,0.25548169
0.78848,1.0182792,-3.0165141
0.7936,4.3474879,-5.8042884
0.79872,5.9299054,-6.8846622
0.80384,5.3404746,-5.9610977
0.80896,3.4145513,-3.6999834
0.81408,0.73202419,-0.5325982
0.8192,-2.8372571,3.1500945
0.82432,-5.8775392,6.3018837
0.82944,-6.5037379,7.1867228
0.83456,-4.7259035,5.7118845
0.83968,-1.7628468,3.1123242
0.8448,1.5764127,-0.18237583
0.84992,4.9753404,-3.473681
0.85504,7.105968,-5.5519924
0.86016,6.885488,-5.5577216
0.86528,4.7538428,-4.0352464
0.8704,1.8300983,-1.5518609
0.87552,-1.7403281,1.552079
0.88064,-5.3215685,4.7149019
0.88576,-7.1944394,6.3030505
0.89088,-6.506537,5.4888711
0.896,-4.0885091,3.3152857
0.90112,-1.0809239,0.33027926
0.90624,2.2480304,-3.0161958
0.91136,5.0248308,-5.7691703
0.91648,6.0128555,-6.7016468
0.9216,4.9408627,-5.7786131
0.92672,2.5883558,-3.652983
0.93184,-0.58169526,-0.47838321
0.93696,-4.2121716,3.2617073
0.94208,-6.8094583,6.0238061
0.9472,-6.8927903,6.4679236
0.95232,-4.7519846,4.8922944
0.95744,-1.4370251,2.3686986
0.96256,2.2242396,-0.78712213
0.96768,5.5689697,-3.8498967
0.9728,7.3918414,-5.3757672
0.97792,7.0702181,-4.9676166
0.98304,5.032464,-3.2583063
0.98816,1.9372212,-0.6622473
0.99328,-1.8818016,2.5963802
0.9984,-5.3882341,5.6253104
1.00352,-6.9716692,6.671309
1.00864,-6.1785522,5.2744513
1.01376,-3.7502196,2.6707535
1.01888,-0.64747024,-0.58978385
1.024,2.6323755,-4.0150881
1.02912,4.9422622,-6.4996405
1.03424,5.3852577,-6.9092765
1.03936,4.1792974,-5.5704532
1.04448,1.861141,-3.127172
1.0496,-1.3505124,0.23956731
1.05472,-4.7720861,3.9763689
1.05984,-6.7551332,6.4758806
1.06496,-6.3869457,6.3894124
1.07008,-4.0807486,4.5114102
1.0752,-0.71998817,1.7890971
1.08032,3.0006902,-1.433458
1.08544,6.0360107,-4.326055
1.09056,7.2628355,-5.5322585
1.09568,6.4666653,-4.7981815
1.1008,4.1740808,-2.895777
1.10592,0.8612842,-0.17070529
1.11104,-2.992471,3.1159315
1.11616,-5.9581995,5.9328823
1.12128,-6.7704,6.4653773
1.1264,-5.4487929,4.7920337
1.13152,-2.771991,2.1203282
1.13664,0.52057719,-1.0577726
1.14176,3.725106,-4.2582598
1.14688,5.6197324,-6.2960424
1.152,5.5665522,-6.3007107
1.15712,4.0458388,-4.7715511
1.16224,1.4696714,-2.3823791
1.16736,-2.0587709,0.79084128
1.17248,-5.5631676,4.2533851
1.1776,-7.2357874,6.2272983
1.18272,-6.5360527,5.6415429
1.18784,-4.1042852,3.5185652
1.19296,-0.61388302,0.70925361
1.19808,3.3146801,-2.4888995
1.2032,6.3263369,-5.1329136
1.20832,7.1964245,-5.8250828
1.21344,6.1563649,-4.5245605
1.21856,3.8972406,-2.1372979
1.22368,0.60658091,0.80166304
1.2288,-3.2534082,4.1618242
1.23392,-5.9718127,6.7067451
1.23904,-6.2368212,6.6610179
1.24416,-4.6373553,4.5780382
1.24928,-2.0915947,1.7300017
1.2544,1.1323994,-1.4962667
1.25952,4.2753515,-4.7193522
1.26464,5.7793989,-6.6636643
1.26976,5.1559992,-6.4030933
1.27488,3.2438161,-4.6255636
1.28,0.50760031,-2.0599539
1.28512,-3.0802557,1.1709827
1.29024,-6.3793125,4.5284915
1.29536,-7.3703904,6.2337699
1.30048,-5.9910235,5.3076596
1.3056,-3.362694,3.0713713
1.31072,-0.012620377,0.28253612
1.31584,3.7963517,-2.7359965
1.32096,6.6550846,-5.0975838
1.32608,7.2377725,-5.5679069
1.3312,5.8425021,-4.1108928
1.33632,3.4179864,-1.6414058
1.34144,-0.019490495,1.4196713
1.34656,-3.9513614,4.6733122
1.35168,-6.3545036,6.8772411
1.3568,-6.1099782,6.4512663
1.36192,-4.0152283,4.0259156
1.36704,-1.2399545,1.0545956
1.37216,1.9087229,-2.115442
1.37728,4.7623668,-4.994565
1.3824,5.9077682,-6.4945478
1.38752,5.0350089,-5.9543076
1.39264,2.9168494,-4.0398083
1.39776,0.082416266,-1.3119782
1.40288,-3.6241403,1.9448457
1.408,-6.8253613,5.2146134
1.41312,-7.5354009,6.5114226
1.41824,-5.7286868,5.1269784
1.42336,-2.6272097,2.3260481
1.42848,0.95606643,-0.83327383
1.4336,4.4981217,-3.799289
1.43872,6.7563553,-5.7629108
1.44384,6.703557,-5.6606345
1.44896,4.8725433,-3.7654445
1.45408,2.2003212,-0.93883914
1.4592,-1.107641,2.1664798
1.46432,-4.5236168,5.138967
1.46944,-6.4087014,6.8606901
1.47456,-5.7948432,6.293396
1.47968,-3.4368658,3.8963726
1.4848,-0.33029976,0.69641602
1.48992,2.9799526,-2.5236988
1.49504,5.703064,-5.0936584
1.50016,6.4927464,-6.1460228
1.50528,5.0342455,-5.2833576
1.5104,2.3789444,-3.1519983
1.51552,-0.79937625,-0.23011896
1.52064,-4.3051724,2.8401885
1.52576,-7.0142894,5.2129159
1.53088,-7.4224253,5.7901831
1.536,-5.5937014,4.2469134
1.54112,-2.5840805,1.5295866
1.54624,1.0218414,-1.7455919
1.55136,4.5586805,-4.6473131
1.55648,6.7530475,-6.1697884
1.5616,6.6080117,-5.7211089
1.56672,4.5721664,-3.5648172
1.57184,1.648549,-0.36666432
1.57696,-1.7298957,3.1450019
1.58208,-4.7334099,5.9983435
1.5872,-5.9835172,7.1215801
1.59232,-4.976027,5.991447
1.59744,-2.505583,3.3846724
1.60256,0.40543908,0.062387262
1.60768,3.4298182,-3.3118849
1.6128,5.6799092,-5.7716107
1.61792,6.1153984,-6.5077038
1.62304,4.5654235,-5.4469576
1.62816,1.7236114,-3.0647876
1.63328,-1.7097942,0.18036583
1.6384,-5.2013412,3.507107
1.64352,-7.2639036,5.590405
1.64864,-6.9387183,5.5166683
1.65376,-4.6736145,3.7860329
1.65888,-1.4807903,1.1090227
1.664,2.003505,-1.9141783
1.66912,5.0828452,-4.5298648
1.67424,6.6648808,-5.6655149
1.67936,6.2424955,-5.1184845
1.68448,4.1654296,-3.2874827
1.6896,0.9525041,-0.34247446
